"Sheet","WorkflowTitle","TC_ID","Description","Procedure","Expected","Precondition","Round1","Tester"
"Workflow Name1","Onboarding & Xác minh Gia sư","ST-TUT-01","Hành trình gia sư từ đăng ký đến được duyệt xác minh","1. Đăng ký tài khoản gia sư + xác thực OTP email.
2. Đăng nhập, cập nhật hồ sơ, thêm kinh nghiệm & lịch rảnh.
3. Upload bằng cấp, nộp hồ sơ xác minh.
4. Admin duyệt hồ sơ (APPROVED).
5. Gia sư ứng tuyển thử một lớp OPEN.","- Tài khoản ACTIVE; hồ sơ đầy đủ.
- Hồ sơ xác minh chuyển APPROVED, trạng thái gia sư 'đã xác minh'.
- Gia sư ứng tuyển lớp thành công (không còn bị chặn).","Hệ thống có sẵn danh mục môn học; có lớp OPEN để thử.","Pending",""
"Workflow Name1","Onboarding & Xác minh Gia sư","ST-TUT-02","Hồ sơ bị từ chối rồi nộp lại được duyệt","1. Gia sư nộp hồ sơ.
2. Admin từ chối kèm lý do ≥10 ký tự.
3. Gia sư chỉnh sửa và nộp lại.
4. Admin duyệt.","- Lần 1: REJECTED kèm lý do; gia sư nhận thông báo.
- Nộp lại được chấp nhận; lần 2 APPROVED.","Gia sư đã có tài khoản ACTIVE.","Pending",""
"Workflow Name1","Onboarding & Xác minh Gia sư","ST-TUT-03","Kiểm soát quyền: gia sư chưa xác minh không nhận lớp","1. Gia sư mới (chưa xác minh) cố ứng tuyển lớp và ứng tuyển tin tuyển dụng trung tâm.","- Bị chặn với yêu cầu xác minh (VerificationRequired) ở cả hai luồng.","Gia sư chưa xác minh; có lớp OPEN và tin tuyển dụng.","Pending",""
"Workflow Name2","Onboarding Phụ huynh & Tìm gia sư","ST-PAR-01","Phụ huynh đăng ký và tìm gia sư phù hợp","1. Đăng ký tài khoản phụ huynh + xác thực OTP.
2. Tạo hồ sơ con.
3. Tìm kiếm gia sư theo môn/khu vực.
4. Thêm gia sư vào yêu thích, xem hồ sơ & đánh giá.","- Tài khoản ACTIVE, hồ sơ con được tạo.
- Kết quả tìm kiếm đúng bộ lọc; danh sách yêu thích lưu lại.","Có dữ liệu gia sư đã xác minh trong hệ thống.","Pending",""
"Workflow Name2","Onboarding Phụ huynh & Tìm gia sư","ST-PAR-02","Tư vấn qua trợ lý AI (RAG)","1. Người dùng mở chatbot, hỏi tìm gia sư/lớp theo môn.
2. Gửi thêm câu hỏi trong cùng phiên.
3. Xem lại lịch sử phiên, xóa phiên.","- AI trả lời có tham chiếu gia sư/lớp/FAQ thật (RAG); nếu LLM lỗi vẫn có fallback.
- Phiên & tin nhắn lưu và tải lại đúng; xóa phiên thành công.","Có dữ liệu gia sư/lớp/FAQ để RAG tham chiếu.","Pending",""
"Workflow Name3","Đăng lớp & Tuyển chọn Gia sư","ST-CLS-01","Từ tạo lớp đến chọn gia sư và sinh hợp đồng","1. Phụ huynh tạo lớp (DRAFT) rồi publish.
2. Nhiều gia sư ứng tuyển với học phí đề xuất.
3. Chủ lớp xem danh sách ứng viên, hồ sơ & đánh giá.
4. Chọn 1 gia sư; từ chối các ứng viên còn lại (có lý do).","- Lớp hiển thị OPEN công khai.
- Ứng viên xuất hiện đầy đủ.
- Sinh Assignment cho gia sư được chọn + hợp đồng chờ ký; ứng viên khác được thông báo từ chối.","Phụ huynh & gia sư đã xác minh; có môn học.","Pending",""
"Workflow Name3","Đăng lớp & Tuyển chọn Gia sư","ST-CLS-02","Gỡ đăng lớp: hợp lệ và bị chặn","1. Gỡ đăng lớp OPEN chưa có ứng tuyển → thành công.
2. Gỡ đăng lớp đã có ứng tuyển → bị chặn.","- Trường hợp 1: lớp về DRAFT.
- Trường hợp 2: chặn 'Lớp đã có gia sư ứng tuyển nên không thể gỡ đăng'.","Có lớp OPEN ở cả hai tình huống.","Pending",""
"Workflow Name3","Đăng lớp & Tuyển chọn Gia sư","ST-CLS-03","Yêu cầu chấm dứt lớp sớm","1. Chủ lớp gửi yêu cầu chấm dứt lớp đang diễn ra (lý do, ngày hiệu lực tương lai).
2. Gửi lần 2 khi đang có yêu cầu chờ.","- Lần 1: tạo yêu cầu chấm dứt (chờ xử lý).
- Lần 2: bị chặn 'Lớp học đã có yêu cầu chấm dứt sớm đang chờ xử lý'.","Lớp đang diễn ra.","Pending",""
"Workflow Name4","Ký Hợp đồng điện tử (OTP)","ST-CON-01","Hai bên ký OTP đến khi hợp đồng hoàn tất","1. Hệ thống sinh hợp đồng sau khi chốt gia sư.
2. Bên A yêu cầu OTP → nhận email → ký.
3. Bên B yêu cầu OTP → nhận email → ký.","- Ghi nhận chữ ký từng bên.
- Khi đủ 2 bên: hợp đồng FULLY_SIGNED, phát sự kiện ContractSigned → khóa escrow.","Đã có Assignment/ghi danh cần ký hợp đồng.","Pending",""
"Workflow Name4","Ký Hợp đồng điện tử (OTP)","ST-CON-02","Ký sai OTP / OTP hết hạn","1. Ký với OTP sai nhiều lần.
2. Ký với OTP đã hết hạn.
3. Yêu cầu mã mới và ký lại đúng.","- Báo còn N lần thử; vượt ngưỡng → yêu cầu mã mới.
- OTP hết hạn bị từ chối; sau khi lấy mã mới ký thành công.","Hợp đồng đang chờ ký.","Pending",""
