STT,Phân hệ / Mã,Tên Chức Năng / Use Case,File Giao Diện Frontend,API Endpoint,Backend Controller,Backend Service Implementation,Bảng CSDL Tác Động & Trường Then Chốt,Điểm Chốt Kỹ Thuật / Trọng Tâm Bảo Vệ,Trạng Thái Ôn Tập
1,BF-09 (Hỗ trợ),User gửi Ticket hỗ trợ khiếu nại,MessagingPanel.tsx (L120-170),POST /api/messaging/tickets,MessagingController.java (L110),MessagingServiceImpl.java (L120-157),"support_tickets, ticket_messages","Ép sàn mức ưu tiên (DISPUTE -> URGENT, SYSTEM_ERROR -> HIGH). Tính SLA: URGENT 4h, HIGH 12h, MED 24h, LOW 48h.",Đã học
2,BF-09 (Hỗ trợ),Admin xem & lọc đa chiều danh sách Ticket,PlatformTicketsPage.tsx (L25-60),GET /api/platform/tickets,PlatformController.java (L102/L317),PlatformServiceImpl.java (L1176-1198),support_tickets,"Lọc theo status, category, priority, keyword; phân trang Spring Data Pageable.",Đã học
3,BF-09 (Hỗ trợ),Admin mở Ticket (Auto-Assign PIC),PlatformTicketsPage.tsx (L63),GET /api/platform/tickets/{id},PlatformController.java (L334),PlatformServiceImpl.java (L1201-1212),"support_tickets (assigned_admin_id, status='IN_PROGRESS')","Admin mở ticket OPEN lập tức tự động gán admin đó làm PIC và chuyển status sang IN_PROGRESS, tránh 2 admin cùng vào trả lời.",Đã học
4,BF-09 (Hỗ trợ),Admin phản hồi Ticket (First Response SLA),PlatformTicketsPage.tsx (L94),POST /api/platform/tickets/{id}/respond,PlatformController.java (L346),PlatformServiceImpl.java (L1278-1318),"ticket_messages, support_tickets (response_sla_ms), audit_logs","Lần phản hồi đầu tiên tự động đo Duration.between(createdAt, now).toMillis(). Ghi audit log RESPOND_TICKET.",Đã học
5,BF-09 (Hỗ trợ),Đóng / Giải quyết Ticket,PlatformTicketsPage.tsx (L99),POST /api/platform/tickets/{id}/close,PlatformController.java (L353),PlatformServiceImpl.java (L1322-1351),"support_tickets (resolved_at, closed_at), audit_logs","Ghi nhận mốc resolvedAt, closedAt. Bắn notification cho người dùng.",Đã học
6,BF-09 (Hỗ trợ),Gộp Ticket trùng lặp (Merge Ticket),PlatformTicketsPage.tsx (L103),POST /api/platform/tickets/{id}/merge,PlatformController.java (L359),PlatformServiceImpl.java (L1360-1425),"ticket_messages, support_tickets (status='CLOSED'), audit_logs","4 chốt chặn: target!=source, cùng 1 userId, 2 ticket chưa đóng. Chuyển nội dung sang ticket đích, đóng ticket nguồn.",Đã học
7,BF-09 (Hỗ trợ),Quét & nâng cấp quá hạn SLA (Job / API),useAdminTickets.tsx (L45),POST /api/platform/tickets/scan-sla,PlatformController.java (L365),PlatformServiceImpl.java (L1433-1510),"support_tickets (priority, sla_breached=true), notifications",Quét due_at < now AND sla_breached=false. Nâng cấp lũy tiến LOW->MED->HIGH->URGENT. Bắn cảnh báo khẩn cho Admin & thư xin lỗi khách.,Đã học
8,BF-09 (Hỗ trợ),Chuyển Ticket sang Tranh chấp Escrow,PlatformTicketsPage.tsx (L112),POST /api/platform/tickets/{id}/redirect-dispute,PlatformController.java (L371),PlatformServiceImpl.java (L1524-1585),"reports (target_type='CLASS'), support_tickets, audit_logs","Tích hợp liên phân hệ: Đổi category DISPUTE, min priority HIGH, sinh bản ghi Report CLASS để tạm khóa Escrow ở BF-10/BF-08.",Đã học
9,BF-09 (Hỗ trợ),Tra cứu FAQ & Trợ giúp công khai,HelpPage.tsx (L1-80),GET /api/catalog/faqs,CatalogController.java (L25),CatalogServiceImpl.java (L50),"faq_entries, faq_categories","Cache danh mục câu hỏi thường gặp, tìm kiếm theo từ khóa cho khách vãng lai và học viên.",Đã học
10,BF-09 (Hỗ trợ),Quản trị kho tri thức FAQ (Admin CRUD),PlatformFaqPage.tsx (L1-120),/api/catalog/admin/faqs,CatalogController.java (L80),CatalogServiceImpl.java (L120),faq_entries,"Thêm, sửa, xóa, sắp xếp thứ tự ưu tiên câu hỏi trợ giúp.",Đã học
